Song Number,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Duration,Acoustic,Populariy,A.Sep,Rnd
1,SnakeRoot,Lis Addison,1/01/2008,128,15,52,-20,4,8:04,90,42,23,9798
2,Child of Magdalene,Scarlet Crow,9/05/2017,105,13,29,-14,8,6:01,89,19,24,7980
3,Deep Sleep Womb Sounds,Inlet Noise,3/11/2022,67,4,30,-41,33,3:33,94,50,25,8262
4,Ambient Noise for Babies Sleep 4 (Heartbeat),ASMR Whisperers,13/06/2022,135,10,45,-38,29,3:26,93,46,26,7439
5,Naked,Anoushka Shankar,26/09/2005,81,9,16,-18,4,4:17,88,48,27,1563
6,Sit Around The Fire,Jon Hopkins,12/11/2021,63,23,22,-24,16,8:23,92,50,28,7595
7,Flights of Ecstacy,Desert Dwellers,19/11/2012,120,73,63,-11,53,7:36,7,23,0,4522
8,Whirling Within,Desert Dwellers,19/11/2012,108,79,71,-10,55,6:04,3,27,48,624
9,The Embrace of Samadhi,Desert Dwellers,19/11/2012,100,64,58,-11,4,7:05,1,25,97,2847
10,Ecstatic Rapture (Open Space Mix),Desert Dwellers,19/11/2012,100,30,27,-15,13,8:12,77,23,145,4221
11,Lotus Garden Spaces,Desert Dwellers,19/11/2012,89,35,10,-16,7,7:59,88,33,194,1640
12,Gahar Saans Lene,Yog Sthaan,10/03/2023,73,1,7,-28,24,3:31,99,50,29,5907
13,Conscious Journey,Sacred Flute,23/09/2022,84,6,9,-23,4,2:16,98,57,30,2262
14,Garden Dancers,Ganesh Punja,27/11/2022,100,40,79,-8,9,4:02,50,47,31,3189
15,Rise of the Capital,Takano Marise,14/04/2023,140,25,68,-16,5,2:45,51,37,32,415
16,Sudhar,Sangenjaya,6/01/2023,65,23,13,-17,5,3:13,99,50,33,4531
17,Rishikesh,AG Sintonia Project,27/01/2023,82,8,8,-17,3,3:42,90,42,34,2984
18,Slowly Healing,Krishna's Flute,12/01/2023,73,1,16,-29,5,3:06,99,47,35,5793
19,Pugli,Panini Sanyal,8/01/2023,72,10,21,-14,3,3:16,90,40,36,592
20,Restful Soul,Buddha's Flute,12/01/2023,151,2,12,-28,3,3:07,99,46,37,7637
21,Bedside Angels,Sleepy Stills,18/09/2019,71,5,27,-24,4,2:15,96,49,38,8028
22,Puja - Soundscape Mix,For the Good of All,4/05/2022,81,24,19,-15,3,5:52,92,41,39,2518
23,Peaceful Being,Maneesh de Moor,23/04/2021,114,17,17,-19,4,5:28,60,36,4,3034
24,Sahana Vavatu (For Inner Nourishment),Manish Vyas,31/07/2017,125,5,19,-18,4,5:59,93,43,40,7704
25,When Acid Ate Ur Brain - Zuma Dionys Remix,Sonya Rubleva,11/02/2019,100,35,50,-11,13,5:31,7,4,7,377
26,NGC 2664,Sonya Rubleva,11/02/2019,105,43,75,-12,7,4:21,20,0,122,4231
27,88's,Cherry Pit,16/06/2019,110,65,81,-13,18,1:04,2,19,41,6416
28,Canto De Ossanha,Baden Powell,1/01/1999,87,47,41,-14,66,3:25,55,26,11,9212
29,Antiphona Insurrexerunt in me,Anonymous,1/01/2013,137,7,23,-24,7,2:32,93,1,42,2094
30,Adi Shakti,Raio,7/09/2021,144,41,63,-12,29,7:17,85,36,5,6300
31,Adi Shakti Mantra,Gurudass,2/07/1999,122,40,56,-13,58,31:36:00,69,27,43,3589
32,Adi Shakti - Jungle Kitchen Remix,Raio,13/09/2021,83,56,70,-11,41,4:16,34,39,80,1185
33,Adi Shakti,Raio,14/09/2021,144,41,63,-12,29,7:17,85,14,161,7825
34,Overture,Silvio Piesco,16/11/2017,120,8,36,-20,4,1:22,58,53,44,3922
35,Sirenita Bobinsana,Maneesh de Moor,27/09/2017,109,35,54,-14,26,3:57,86,39,81,9554
36,Love Is the Medicine,Ali Maya,7/11/2019,83,11,39,-19,8,1:39,94,42,45,1879
37,Alghosa,Jungle Kitchen,26/04/2022,113,72,65,-11,37,3:49,74,29,46,818
38,Chennai Anthem,Dolkar Gurung,26/09/2017,80,52,59,-15,54,3:48,7,38,47,3580
39,Bonteka,Ayla Nereo,1/07/2016,114,9,61,-17,22,2:38,99,36,51,9787
40,Salvia,Rainer Scheurenbrand,2/02/2017,164,17,38,-23,14,5:13,97,33,52,8025
41,Fula Fula,Raio,14/03/2023,165,42,80,-12,35,4:47,59,21,236,8802
42,Inikanaue Kaiowá (Fanfara Electronica Remix),Pasaje Universo,6/07/2020,90,35,81,-12,35,4:48,32,34,53,7159
43,Souls Of My Ancestors,Delia Chariker,14/09/2003,98,1,23,-28,16,4:43,99,34,54,6795
44,Hey Neyana,Christian Bollmann,1/12/1999,114,11,49,-22,32,3:53,92,41,55,6866
45,Ilon Säie - Shine While You Live,Kumea Sound,2015,170,12,32,-23,26,2:58,99,26,56,3923
46,Fire - Ceremony (feat. Anukai Arun),Master Minded,16/04/2015,171,25,20,-11,3,3:55,22,31,57,3030
47,Earth Drone,Verdell Primeaux,1/01/1997,90,10,22,-20,9,3:24,90,28,58,7270
48,Lutar - Chronical Deep Clap Back,Hypaphonik,21/01/2022,115,75,76,-9,11,7:23,25,35,59,9664
49,Água - Diogo Strausz & JKriv Remix Single Edit,BaianaSystem,9/04/2021,110,63,77,-9,59,4:58,4,34,61,5753
50,Afro Sambroso - Rampa Version,Lokkhi Terra,6/03/2020,123,54,82,-12,10,5:30,13,38,62,1010
51,Ciclos,Antaares,12/08/2022,108,63,81,-11,15,6:37,2,38,63,6208
52,Lit,Hezarfen,28/10/2022,100,43,81,-17,43,6:00,52,34,64,1252
53,"Se Va, Se Va",Santi & Tu?çe,27/01/2023,120,57,76,-8,14,7:30,34,42,65,4141
54,Pervaz,Netam,14/01/2022,196,77,53,-10,48,4:37,5,35,66,215
55,Caminata,Montezuma,18/06/2021,123,68,69,-9,7,6:56,32,40,12,6767
56,The Landing - Nadav Dagon & JPattersson,JPattersson,20/01/2021,97,70,74,-10,41,7:15,20,39,67,5
57,Parivartan,Elcor,13/12/2021,114,43,75,-17,5,8:07,39,39,68,7428
58,Ormila,Majed Zane,7/02/2022,106,68,73,-10,22,4:59,27,43,69,8977
59,Into Your Tribe - Bedouin Remix,Soul Of Zoo,1/07/2022,121,51,84,-11,13,7:35,0,40,70,1169
60,La Isla - Radio Version,Megablast,1/07/2022,120,79,82,-9,60,3:13,10,42,71,2967
61,Quetzal,Montezuma,2/04/2021,128,72,75,-10,7,7:38,8,39,220,569
62,Heinz,Geju,27/01/2023,107,66,87,-14,15,6:35,38,32,72,4441
63,Ramona,Fort Romeau,11/02/2022,125,52,75,-10,39,7:04,0,31,73,6538
